,rtime,lkas,ldws,distance,speed,latitude,longtitude
223,2020-11-07 13:44:41,1,1,16.29,70,37.258388000000004,127.10367450000001
224,2020-11-07 13:44:42,1,1,16.59,68,37.25821508,127.103674
225,2020-11-07 13:44:43,1,1,17.39,68,37.25804566,127.103673
226,2020-11-07 13:44:44,1,1,15.86,68,37.25788139,127.10367590000001
227,2020-11-07 13:44:45,1,1,16.59,68,37.25771974,127.1036767
228,2020-11-07 13:44:46,1,1,16.44,68,37.257552399999994,127.1036795
229,2020-11-07 13:44:47,1,1,16.59,68,37.25738349,127.10368390000002
230,2020-11-07 13:44:48,1,1,16.75,68,37.25727957,127.10348229999998
231,2020-11-07 13:44:49,1,1,16.9,68,37.25711253,127.10347709999999
232,2020-11-07 13:44:50,1,1,18.43,68,37.25695266,127.1034745
233,2020-11-07 13:44:51,1,1,18.61,68,37.25678633,127.10346729999999
234,2020-11-07 13:44:52,1,1,18.43,69,37.25654248,127.10370459999999
235,2020-11-07 13:44:53,1,1,18.25,69,37.25639178,127.10368259999998
236,2020-11-07 13:44:54,1,1,18.8,70,37.25624963,127.1036541
237,2020-11-07 13:44:55,1,1,18.25,70,37.25611439,127.10363020000001
238,2020-11-07 13:44:56,1,1,18.61,70,37.25593228,127.1036155
239,2020-11-07 13:44:57,1,1,18.61,70,37.25576392,127.1035902
240,2020-11-07 13:44:58,1,1,18.07,69,37.25561629999999,127.103609
241,2020-11-07 13:44:59,1,1,16.59,68,37.25546365,127.10363240000001
242,2020-11-07 13:45:00,1,1,16.75,67,37.25531784,127.10363819999999
243,2020-11-07 13:45:01,1,1,15.18,66,37.25517341,127.1036537
244,2020-11-07 13:45:02,1,1,13.52,60,37.25502879,127.10367820000002
245,2020-11-07 13:45:03,1,1,11.37,55,37.25486734,127.1036721
246,2020-11-07 13:45:04,1,1,10.6,46,37.25472941,127.10367439999999
247,2020-11-07 13:45:05,1,1,10.39,42,37.25460984,127.10368249999999
248,2020-11-07 13:45:06,1,1,10.6,38,37.25449684,127.1036755
249,2020-11-07 13:45:07,1,1,11.53,37,37.2543822,127.1036633
250,2020-11-07 13:45:08,1,1,11.96,38,37.25426854,127.10364679999999
251,2020-11-07 13:45:09,1,1,13.1,39,37.25415324,127.10363889999999
252,2020-11-07 13:45:10,1,1,14.92,41,37.25403822,127.1036278
253,2020-11-07 13:45:11,1,1,14.8,43,37.25390889,127.1036247
254,2020-11-07 13:45:12,1,1,15.58,44,37.25379643,127.1036187
255,2020-11-07 13:45:13,1,1,16.15,45,37.25368607,127.1036097
256,2020-11-07 13:45:14,1,1,17.22,46,37.25359097,127.10360759999999
257,2020-11-07 13:45:15,1,1,16.44,48,37.25349129,127.10360849999999
258,2020-11-07 13:45:16,1,1,18.07,50,37.25339935,127.103605
259,2020-11-07 13:45:17,1,1,17.39,50,37.25329232,127.10360520000002
260,2020-11-07 13:45:18,1,1,17.39,51,37.25319226,127.1036164
261,2020-11-07 13:45:19,1,1,18.07,52,37.25307729,127.10362690000001
262,2020-11-07 13:45:20,1,1,17.39,52,37.25296137,127.1036311
263,2020-11-07 13:45:21,1,1,17.06,53,37.25283933,127.10363219999999
264,2020-11-07 13:45:22,1,1,17.89,54,37.25271318,127.10363259999998
265,2020-11-07 13:45:23,1,1,18.43,55,37.25258742,127.10363079999999
266,2020-11-07 13:45:24,1,1,18.99,56,37.25246049,127.10362649999999
267,2020-11-07 13:45:25,1,1,19.38,57,37.25232155,127.103624
268,2020-11-07 13:45:26,1,1,19.58,57,37.25217503,127.1036223
269,2020-11-07 13:45:27,1,1,17.72,58,37.25203277,127.10362190000001
270,2020-11-07 13:45:28,1,1,19.79,59,37.25189899,127.10361940000001
271,2020-11-07 13:45:29,1,1,17.55,60,37.25176829,127.10361699999999
272,2020-11-07 13:45:30,1,1,18.43,60,37.25163795,127.1036155
273,2020-11-07 13:45:31,1,1,18.07,60,37.25145524,127.10369070000002
