date,time,distance
2020-11-07,13:41:54,12.14
2020-11-07,13:41:54,12.51
2020-11-07,13:41:54,12.7
2020-11-07,13:41:54,12.9
2020-11-07,13:41:54,12.9
2020-11-07,13:41:54,12.9
2020-11-07,13:41:54,13.1
2020-11-07,13:41:54,13.1
2020-11-07,13:41:55,13.74
2020-11-07,13:41:55,13.96
2020-11-07,13:41:55,13.52
2020-11-07,13:41:55,2.7
2020-11-07,13:41:55,2.68
2020-11-07,13:41:55,2.82
2020-11-07,13:41:55,2.99
2020-11-07,13:41:55,3.07
2020-11-07,13:41:55,3.03
2020-11-07,13:41:55,3.36
2020-11-07,13:41:56,3.36
2020-11-07,13:41:56,3.55
2020-11-07,13:41:56,3.6
2020-11-07,13:41:56,3.71
2020-11-07,13:41:56,4.07
2020-11-07,13:41:56,4.09
2020-11-07,13:41:56,4.23
2020-11-07,13:41:56,4.33
2020-11-07,13:41:56,4.31
2020-11-07,13:41:56,4.47
2020-11-07,13:41:57,4.65
2020-11-07,13:41:57,4.81
2020-11-07,13:41:57,4.9
2020-11-07,13:41:57,4.88
2020-11-07,13:41:57,5.05
2020-11-07,13:41:57,5.17
2020-11-07,13:41:57,5.25
2020-11-07,13:41:57,5.3
2020-11-07,13:41:57,5.47
2020-11-07,13:41:57,5.38
2020-11-07,13:41:58,5.52
2020-11-07,13:41:58,5.66
2020-11-07,13:41:58,5.78
2020-11-07,13:41:58,5.66
2020-11-07,13:41:58,5.72
2020-11-07,13:41:58,5.63
2020-11-07,13:41:58,5.63
2020-11-07,13:41:58,5.66
2020-11-07,13:41:58,5.69
2020-11-07,13:41:58,5.81
2020-11-07,13:41:59,5.84
2020-11-07,13:41:59,5.9
2020-11-07,13:41:59,6.02
2020-11-07,13:41:59,5.99
2020-11-07,13:41:59,6.12
2020-11-07,13:41:59,6.25
2020-11-07,13:41:59,6.45
2020-11-07,13:41:59,6.35
2020-11-07,13:41:59,6.48
2020-11-07,13:41:59,6.81
2020-11-07,13:42:00,6.85
2020-11-07,13:42:00,6.73
2020-11-07,13:42:00,6.88
2020-11-07,13:42:00,6.81
2020-11-07,13:42:00,6.88
2020-11-07,13:42:00,7.04
2020-11-07,13:42:00,7.04
2020-11-07,13:42:00,6.96
2020-11-07,13:42:00,7.08
2020-11-07,13:42:00,7.4
2020-11-07,13:42:01,7.28
2020-11-07,13:42:01,7.32
2020-11-07,13:42:01,7.53
2020-11-07,13:42:01,7.79
2020-11-07,13:42:01,7.7
2020-11-07,13:42:01,7.98
2020-11-07,13:42:01,8.37
2020-11-07,13:42:01,8.32
2020-11-07,13:42:01,8.37
2020-11-07,13:42:01,8.52
2020-11-07,13:42:02,8.42
2020-11-07,13:42:02,8.52
2020-11-07,13:42:02,8.57
2020-11-07,13:42:02,8.22
2020-11-07,13:42:02,8.78
2020-11-07,13:42:02,8.68
2020-11-07,13:42:02,8.78
2020-11-07,13:42:02,8.62
2020-11-07,13:42:02,8.52
2020-11-07,13:42:02,8.62
2020-11-07,13:42:03,8.62
2020-11-07,13:42:03,8.78
2020-11-07,13:42:03,8.89
2020-11-07,13:42:03,8.89
2020-11-07,13:42:03,8.95
2020-11-07,13:42:03,9.29
2020-11-07,13:42:03,9.23
2020-11-07,13:42:03,9.29
2020-11-07,13:42:03,9.06
2020-11-07,13:42:03,9.41
2020-11-07,13:42:04,9.41
2020-11-07,13:42:04,9.78
2020-11-07,13:42:04,9.85
2020-11-07,13:42:04,9.85
2020-11-07,13:42:04,10.04
2020-11-07,13:42:04,nan
2020-11-07,13:42:04,10.39
2020-11-07,13:42:04,9.98
2020-11-07,13:42:04,9.98
2020-11-07,13:42:04,9.91
2020-11-07,13:42:05,10.04
2020-11-07,13:42:05,10.11
2020-11-07,13:42:05,10.25
2020-11-07,13:42:05,10.32
2020-11-07,13:42:05,10.39
2020-11-07,13:42:05,10.32
2020-11-07,13:42:05,10.46
2020-11-07,13:42:05,10.46
2020-11-07,13:42:05,10.75
2020-11-07,13:42:05,10.67
2020-11-07,13:42:06,10.18
2020-11-07,13:42:06,10.67
2020-11-07,13:42:06,7.16
2020-11-07,13:42:06,7
2020-11-07,13:42:06,10.82
2020-11-07,13:42:06,11.45
2020-11-07,13:42:06,nan
2020-11-07,13:42:06,11.37
2020-11-07,13:42:06,nan
2020-11-07,13:42:06,nan
2020-11-07,13:42:07,11.62
2020-11-07,13:42:07,11.79
2020-11-07,13:42:07,nan
2020-11-07,13:42:07,12.05
2020-11-07,13:42:07,12.51
2020-11-07,13:42:07,12.51
2020-11-07,13:42:07,nan
2020-11-07,13:42:07,nan
2020-11-07,13:42:07,12.7
2020-11-07,13:42:07,12.7
2020-11-07,13:42:08,12.23
2020-11-07,13:42:08,12.32
2020-11-07,13:42:08,nan
2020-11-07,13:42:08,nan
2020-11-07,13:42:08,12.8
2020-11-07,13:42:08,12.6
2020-11-07,13:42:08,12.51
2020-11-07,13:42:08,nan
2020-11-07,13:42:08,12.14
2020-11-07,13:42:08,12.23
2020-11-07,13:42:09,nan
2020-11-07,13:42:09,nan
2020-11-07,13:42:09,nan
2020-11-07,13:42:09,11.96
2020-11-07,13:42:09,nan
2020-11-07,13:42:09,11.79
2020-11-07,13:42:09,11.87
2020-11-07,13:42:09,nan
2020-11-07,13:42:09,nan
2020-11-07,13:42:09,11.62
2020-11-07,13:42:10,nan
2020-11-07,13:42:10,11.37
2020-11-07,13:42:10,nan
2020-11-07,13:42:10,nan
2020-11-07,13:42:10,11.13
2020-11-07,13:42:10,nan
2020-11-07,13:42:10,nan
2020-11-07,13:42:10,10.39
2020-11-07,13:42:10,10.46
2020-11-07,13:42:10,10.39
2020-11-07,13:42:11,10.04
2020-11-07,13:42:11,10.04
2020-11-07,13:42:11,10.11
2020-11-07,13:42:11,10.25
2020-11-07,13:42:11,10.46
2020-11-07,13:42:11,10.53
2020-11-07,13:42:11,10.11
2020-11-07,13:42:11,10.32
2020-11-07,13:42:11,10.11
2020-11-07,13:42:11,10.18
2020-11-07,13:42:12,10.32
2020-11-07,13:42:12,10.25
2020-11-07,13:42:12,10.39
2020-11-07,13:42:12,10.11
2020-11-07,13:42:12,10.46
2020-11-07,13:42:12,10.6
2020-11-07,13:42:12,10.25
2020-11-07,13:42:12,9.17
2020-11-07,13:42:12,10.32
2020-11-07,13:42:12,10.25
2020-11-07,13:42:13,10.11
2020-11-07,13:42:13,10.18
2020-11-07,13:42:13,10.25
2020-11-07,13:42:13,9.85
2020-11-07,13:42:13,9.91
2020-11-07,13:42:13,nan
2020-11-07,13:42:13,9.98
2020-11-07,13:42:13,9.66
2020-11-07,13:42:13,9.66
2020-11-07,13:42:13,9.35
2020-11-07,13:42:14,9.85
2020-11-07,13:42:14,9.85
2020-11-07,13:42:14,nan
2020-11-07,13:42:14,9.78
2020-11-07,13:42:14,9.66
2020-11-07,13:42:14,9.91
2020-11-07,13:42:14,9.91
2020-11-07,13:42:14,10.04
2020-11-07,13:42:14,10.04
2020-11-07,13:42:14,9.91
2020-11-07,13:42:15,9.72
2020-11-07,13:42:15,9.72
2020-11-07,13:42:15,9.98
2020-11-07,13:42:15,10.11
2020-11-07,13:42:15,9.98
2020-11-07,13:42:15,10.04
2020-11-07,13:42:15,9.85
2020-11-07,13:42:15,9.78
2020-11-07,13:42:15,9.72
2020-11-07,13:42:15,9.78
2020-11-07,13:42:16,9.91
